0.31	2.18
0.36	2.12
0.41	2.09
0.47	2.07
0.52	2.06
0.57	2.05
0.62	2.04
0.67	2.03
0.73	2.03
0.78	2.03
0.83	2.02
0.88	2.02
0.93	2.02
0.99	2.01
1.04	2.01
1.09	2.01
1.14	2.01
1.19	2.01
1.25	2.01
1.30	2.00
1.35	2.00
1.40	2.00
1.45	2.00
1.51	2.00
1.56	2.00
1.61	1.99
1.66	1.99
1.71	1.99
1.76	1.99
1.82	1.99
1.87	1.99
1.92	1.99
1.97	1.98
2.02	1.98
2.08	1.98
2.13	1.98
2.18	1.98
2.23	1.98
2.28	1.97
2.34	1.97
2.39	1.97
2.44	1.97
2.49	1.97
2.54	1.97
2.60	1.96
2.65	1.96
2.70	1.96
2.75	1.96
2.80	1.96
2.86	1.95
2.91	1.95
2.96	1.95
3.01	1.95
3.06	1.95
3.12	1.94
3.17	1.94
3.22	1.94
3.27	1.94
3.32	1.93
3.37	1.93
3.43	1.93
3.48	1.93
3.53	1.92
3.58	1.92
3.63	1.92
3.69	1.92
3.74	1.91
3.79	1.91
3.84	1.91
3.89	1.91
3.95	1.90
4.00	1.90
4.05	1.90
4.10	1.89
4.15	1.89
4.21	1.89
4.26	1.88
4.31	1.88
4.36	1.88
4.41	1.88
4.47	1.87
4.52	1.87
4.57	1.87
4.62	1.86
4.67	1.86
4.73	1.86
4.78	1.85
4.83	1.85
4.88	1.84
4.93	1.84
4.99	1.84
5.04	1.83
5.09	1.83
5.14	1.83
5.19	1.82
5.24	1.82
5.30	1.81
5.35	1.81
5.40	1.81
5.45	1.80
5.50	1.80
1.53846	2.46306
1.53941	2.46305
1.54036	2.46304
1.54131	2.46302
1.54226	2.46301
1.54321	2.463
1.54416	2.46299
1.54512	2.46297
1.54607	2.46296
1.54703	2.46295
1.54799	2.46293
1.54895	2.46292
1.54991	2.46291
1.55087	2.4629
1.55183	2.46288
1.5528	2.46287
1.55376	2.46286
1.55473	2.46284
1.55569	2.46283
1.55666	2.46282
1.55763	2.4628
1.5586	2.46279
1.55958	2.46278
1.56055	2.46276
1.56152	2.46275
1.5625	2.46274
1.56348	2.46272
1.56446	2.46271
1.56544	2.4627
1.56642	2.46268
1.5674	2.46267
1.56838	2.46266
1.56937	2.46264
1.57035	2.46263
1.57134	2.46262
1.57233	2.4626
1.57332	2.46259
1.57431	2.46258
1.5753	2.46256
1.57629	2.46255
1.57729	2.46253
1.57828	2.46252
1.57928	2.46251
1.58028	2.46249
1.58128	2.46248
1.58228	2.46246
1.58328	2.46245
1.58428	2.46244
1.58529	2.46242
1.58629	2.46241
1.5873	2.4624
1.58831	2.46238
1.58932	2.46237
1.59033	2.46235
1.59134	2.46234
1.59236	2.46232
1.59337	2.46231
1.59439	2.4623
1.59541	2.46228
1.59642	2.46227
1.59744	2.46225
1.59847	2.46224
1.59949	2.46223
1.60051	2.46221
1.60154	2.4622
1.60256	2.46218
1.60359	2.46217
1.60462	2.46215
1.60565	2.46214
1.60668	2.46212
1.60772	2.46211
1.60875	2.4621
1.60979	2.46208
1.61082	2.46207
1.61186	2.46205
1.6129	2.46204
1.61394	2.46202
1.61499	2.46201
1.61603	2.46199
1.61708	2.46198
1.61812	2.46196
1.61917	2.46195
1.62022	2.46193
1.62127	2.46192
1.62232	2.4619
1.62338	2.46189
1.62443	2.46187
1.62549	2.46186
1.62655	2.46184
1.6276	2.46183
1.62866	2.46181
1.62973	2.4618
1.63079	2.46178
1.63185	2.46177
1.63292	2.46175
1.63399	2.46174
1.63506	2.46172
1.63613	2.46171
1.6372	2.46169
1.63827	2.46167
1.63934	2.46166
1.64042	2.46164
1.6415	2.46163
1.64258	2.46161
1.64366	2.4616
1.64474	2.46158
1.64582	2.46157
1.6469	2.46155
1.64799	2.46153
1.64908	2.46152
1.65017	2.4615
1.65125	2.46149
1.65235	2.46147
